"movie_id","actor"
35,"Nick Afanasiev"
36,"克利夫·德杨"
36,"戴尔·米德基夫"
36,"阿米·多伦兹"
37,"曾志伟"
37,"毛舜筠"
37,"黄宗泽"
37,"何韵诗"
37,"冯淬帆"
37,"邵音音"
37,"张馨予"
37,"苏永康"
37,"麦长青"
37,"林颖彤"
38,"郭晓然"
38,"金晨"
38,"牛群"
38,"王璐瑶"
38,"郭鑫"
38,"邵思涵"
38,"姜潮"
38,"芷玄"
39,"梁朝伟"
39,"章子怡"
39,"王菲"
39,"木村拓哉"
40,"黑木美沙"
40,"松雪泰子"
40,"谷原章介"
40,"朴璐美"
41,"唐泽寿明"
41,"丰川悦司"
41,"常盘贵子"
41,"黑木瞳"
41,"香川照之"
41,"竹中直人"
41,"宫迫博之"
41,"石塚英彦"
41,"佐佐木藏之介"
41,"宇梶刚士"
41,"生濑胜久"
42,"唐泽寿明"
42,"丰川悦司"
42,"平爱梨"
42,"常盘贵子"
42,"黑木瞳"
42,"香川照之"
42,"宫迫博之"
42,"石桥莲司"
42,"木南晴夏"
42,"神木隆之介"
42,"藤木直人"
42,"光石研"
42,"福田麻由子"
43,"夏尔·贝尔林"
43,"维尔日妮·埃菲拉"
43,"皮埃尔·尼内"
43,"Gilles Cohen"
43,"Diana Stewart"
44,"西恩·潘"
44,"娜奥米·沃茨"
44,"本尼西奥·德尔·托罗"
44,"夏洛特·甘斯布"
44,"梅丽莎·里奥"
45,"郭京飞"
45,"迪丽热巴"
45,"大鹏"
45,"包贝尔"
46,"藤原龙也"
46,"伊藤英明"
46,"夏帆"
46,"野村周平"
46,"石桥杏奈"
46,"龙星凉"
46,"早乙女太一"
46,"平田满"
46,"岩松了"
46,"岩城滉一"
46,"仲村亨"
47,"马克·沃尔伯格"
47,"劳伦·科汉"
47,"伊科·乌艾斯"
47,"约翰·马尔科维奇"
47,"龙达·鲁西"
47,"卡尔洛·阿尔班"
47,"娜塔莎·古布斯卡亚"
47,"李彩麟"
47,"山姆·麦地那"
47,"基思·阿瑟·鲍顿"
47,"比利·史密斯"
47,"米凯·霍姆斯"
47,"艾米莉· 斯凯格斯"
47,"特里·金尼"
47,"普娜·贾甘纳坦"
47,"彼得·博格"
47,"埃尔·格雷厄姆"
47,"尼古拉·尼克拉斐"
47,"大卫·加雷利克"
47,"肖恩·艾弗里"
47,"特雷弗·格雷茨基"
47,"里奇·拉瑟福德"
47,"亚历山德拉·维诺"
47,"约翰·盖蒂尔"
47,"萨姆·鲁克"
47,"迈克尔·皮耶里诺·米勒"
47,"巴拉克·奥巴马"
47,"里克·佩雷斯"
47,"帕蒂·舍尔哈斯"
47,"唐纳德·特朗普"
47,"瑞文·韦恩"
48,"秦昊"
48,"林依晨"
48,"简宏霖"
48,"蔡淑臻"
48,"周姮吟"
48,"曾珮瑜"
49,"史蒂夫·库根"
49,"连尼·詹姆斯"
49,"John Thomson"
49,"雪莉·亨德森"
49,"Nigel Pivaro"
50,"基弗·萨瑟兰"
50,"切莉·琼斯"
50,"鲍勃·冈顿"
50,"科鲁姆·费奥瑞"
50,"鲍沃斯·布斯"
50,"罗伯特·卡莱尔"
50,"强·沃特"
50,"彼特·麦尼科"
50,"吉尔·贝罗斯"
50,"哈基姆·凯-卡西姆"
51,"伊桑·霍克"
51,"许晴"
51,"保罗·安德森"
51,"鲁特格尔·哈尔"
51,"利亚姆·坎宁安"
51,"娜塔莉·博尔特"
51,"坦娅·范·格拉恩"
51,"哈基姆·凯-卡西姆"
51,"珍娜·厄普顿"
51,"艾丹·怀托克"
51,"蒂龙·基奥"
51,"杰瑞米·杨"
51,"苏珊·玲·杨"
51,"理查德·洛锡安"
51,"比约恩·施泰因巴赫"
51,"布兰登·默雷"
51,"安德鲁·莫尔加多"
51,"杰森·梅德"
51,"加里·格鲁森"
51,"亚历克斯·安洛斯"
51,"谢恩·约翰·克鲁格"
52,"苏利耶·西瓦库马"
52,"萨曼莎·鲁斯·帕布"
52,"内森·梅农"
53,"阿克谢·库玛尔"
53,"Kajal Aggarwal"
53,"吉米·舍尔吉勒"
53,"马诺杰·巴杰帕伊"
53,"阿努潘·凯尔"
54,"尼莎·库察尼婕"
54,"叶甫根尼·希迪金"
54,"Shalva Iashvili"
55,"凯瑟琳·海格尔"
55,"詹姆斯·麦斯登"
55,"爱德华·伯恩斯"
55,"玛琳·阿克曼"
55,"朱迪·格雷尔"
55,"克里斯滕·里特"
56,"倪妮"
56,"霍建华"
56,"马苏"
56,"王大陆"
57,"周秀娜"
57,"郑欣宜"
57,"蔡瀚亿"
57,"杨尚斌"
57,"金燕玲"
57,"赖慰玲"
57,"汤怡"
57,"郑丹瑞"
57,"葛民辉"
57,"林海峰"
57,"张国强"
57,"王宗尧"
57,"周家怡"
57,"梁祖尧"
58,"沙利文·斯特普尔顿"
58,"罗德里戈·桑托罗"
58,"伊娃·格林"
58,"琳娜·海蒂"
59,"安东尼娅·坎贝尔-休斯"
59,"杰米斯·巴特勒"
59,"托尔·林德哈特"
59,"崔娜·蒂虹"
59,"迪尔巴拉·莫洛伊"
59,"罗兰·维斯内克"
60,"石田百合子"
60,"柳忧怜"
60,"北野武"
60,"邓肯"
60,"布施绘里"
60,"芦川诚"
61,"仲星火"
