"movie_id","genre"
233,"动作"
233,"惊悚"
234,"喜剧"
234,"爱情"
234,"奇幻"
234,"冒险"
235,"喜剧"
236,"悬疑"
236,"惊悚"
236,"恐怖"
237,"喜剧"
237,"爱情"
237,"家庭"
238,"剧情"
238,"爱情"
239,"喜剧"
240,"剧情"
240,"喜剧"
240,"犯罪"
240,"冒险"
241,"喜剧"
241,"犯罪"
242,"剧情"
242,"惊悚"
242,"犯罪"
243,"喜剧"
243,"爱情"
244,"动作"
244,"动画"
244,"悬疑"
244,"冒险"
245,"喜剧"
245,"犯罪"
246,"剧情"
246,"动作"
246,"武侠"
246,"古装"
247,"剧情"
247,"冒险"
248,"惊悚"
248,"恐怖"
249,"惊悚"
249,"犯罪"
250,"剧情"
250,"悬疑"
250,"惊悚"
250,"犯罪"
251,"喜剧"
251,"家庭"
251,"冒险"
252,"剧情"
252,"动作"
252,"传记"
252,"历史"
253,"喜剧"
253,"动作"
254,"喜剧"
254,"爱情"
255,"剧情"
255,"爱情"
256,"惊悚"
256,"恐怖"
257,"惊悚"
257,"犯罪"
258,"喜剧"
258,"爱情"
258,"家庭"
259,"剧情"
259,"动作"
259,"冒险"
260,"剧情"
261,"剧情"
261,"动作"
261,"犯罪"
262,"动作"
262,"科幻"
262,"惊悚"
262,"奇幻"
262,"冒险"
263,"喜剧"
263,"奇幻"
263,"冒险"
263,"古装"
264,"喜剧"
265,"恐怖"
266,"剧情"
266,"悬疑"
266,"恐怖"
266,"犯罪"
267,"剧情"
267,"传记"
267,"运动"
268,"剧情"
268,"喜剧"
268,"爱情"
268,"悬疑"
269,"剧情"
269,"爱情"
269,"传记"
270,"喜剧"
270,"爱情"
271,"剧情"
271,"惊悚"
271,"犯罪"
272,"剧情"
272,"家庭"
273,"剧情"
273,"悬疑"
274,"剧情"
274,"悬疑"
274,"恐怖"
275,"剧情"
275,"音乐"
275,"传记"
276,"剧情"
276,"爱情"
277,"剧情"
277,"爱情"
277,"家庭"
278,"动作"
278,"爱情"
278,"冒险"
279,"喜剧"
279,"犯罪"
280,"剧情"
280,"喜剧"
280,"传记"
281,"剧情"
281,"动作"
281,"犯罪"
282,"剧情"
282,"犯罪"
283,"剧情"
283,"喜剧"
283,"同性"
284,"剧情"
284,"同性"
285,"剧情"
285,"喜剧"
285,"爱情"
285,"歌舞"
286,"剧情"
286,"喜剧"
287,"悬疑"
287,"惊悚"
287,"犯罪"
288,"惊悚"
288,"恐怖"
289,"剧情"
289,"动作"
289,"历史"
289,"战争"
290,"剧情"
290,"犯罪"
291,"剧情"
291,"爱情"
292,"剧情"
293,"剧情"
293,"动作"
293,"武侠"
293,"古装"
294,"剧情"
294,"传记"
295,"剧情"
295,"爱情"
296,"剧情"
296,"喜剧"
296,"同性"
297,"剧情"
297,"动作"
297,"犯罪"
298,"悬疑"
298,"恐怖"
299,"恐怖"
300,"悬疑"
300,"惊悚"
300,"恐怖"
301,"喜剧"
301,"悬疑"
301,"古装"
302,"犯罪"
303,"爱情"
303,"奇幻"
304,"惊悚"
304,"奇幻"
305,"动画"
306,"喜剧"
307,"剧情"
307,"犯罪"
308,"剧情"
308,"爱情"
308,"同性"
309,"剧情"
309,"犯罪"
310,"喜剧"
311,"喜剧"
311,"犯罪"
312,"剧情"
312,"爱情"
312,"歌舞"
313,"剧情"
313,"传记"
313,"历史"
313,"战争"
314,"剧情"
314,"情色"
315,"喜剧"
315,"歌舞"
316,"剧情"
316,"爱情"
317,"爱情"
317,"科幻"
317,"战争"
318,"剧情"
318,"悬疑"
318,"犯罪"
318,"黑色电影"
319,"喜剧"
319,"动作"
319,"西部"
319,"冒险"
320,"喜剧"
320,"动作"
320,"西部"
320,"冒险"
321,"动作"
322,"剧情"
322,"动作"
322,"爱情"
323,"剧情"
323,"悬疑"
323,"犯罪"
324,"悬疑"
324,"惊悚"
324,"恐怖"
325,"爱情"
326,"剧情"
326,"喜剧"
326,"爱情"
327,"剧情"
327,"爱情"
327,"情色"
328,"剧情"
328,"惊悚"
328,"犯罪"
329,"喜剧"
330,"剧情"
330,"爱情"
331,"剧情"
331,"悬疑"
331,"惊悚"
332,"喜剧"
333,"剧情"
333,"喜剧"
333,"惊悚"
334,"剧情"
334,"爱情"
334,"家庭"
335,"剧情"
335,"爱情"
335,"奇幻"
336,"喜剧"
336,"动作"
336,"犯罪"
337,"剧情"
338,"剧情"
338,"爱情"
339,"爱情"
340,"剧情"
340,"悬疑"
340,"惊悚"
341,"剧情"
341,"惊悚"
341,"犯罪"
342,"剧情"
342,"悬疑"
342,"惊悚"
342,"犯罪"
343,"剧情"
343,"喜剧"
343,"科幻"
344,"惊悚"
345,"剧情"
345,"爱情"
345,"同性"
346,"剧情"
346,"爱情"
347,"喜剧"
347,"爱情"
347,"音乐"
348,"悬疑"
348,"惊悚"
349,"剧情"
349,"惊悚"
349,"情色"
349,"家庭"
350,"剧情"
350,"喜剧"
350,"悬疑"
351,"喜剧"
351,"犯罪"
352,"剧情"
352,"传记"
352,"历史"
353,"剧情"
354,"恐怖"
355,"剧情"
355,"悬疑"
355,"惊悚"
356,"剧情"
356,"爱情"
357,"喜剧"
357,"爱情"
358,"动作"
358,"惊悚"
358,"犯罪"
359,"剧情"
359,"悬疑"
359,"惊悚"
360,"剧情"
360,"爱情"
360,"音乐"
360,"传记"
361,"悬疑"
361,"惊悚"
361,"犯罪"
362,"喜剧"
363,"剧情"
363,"动作"
363,"犯罪"
364,"剧情"
364,"喜剧"
364,"犯罪"
365,"剧情"
366,"喜剧"
366,"爱情"
367,"剧情"
367,"情色"
368,"剧情"
368,"情色"
369,"剧情"
369,"奇幻"
369,"古装"
370,"剧情"
370,"家庭"
371,"剧情"
371,"悬疑"
371,"犯罪"
372,"爱情"
372,"音乐"
372,"奇幻"
373,"剧情"
373,"爱情"
374,"剧情"
374,"悬疑"
374,"惊悚"
374,"同性"
374,"犯罪"
375,"剧情"
375,"爱情"
375,"情色"
376,"喜剧"
377,"剧情"
377,"悬疑"
377,"惊悚"
377,"恐怖"
378,"爱情"
378,"悬疑"
379,"喜剧"
379,"爱情"
380,"剧情"
380,"音乐"
380,"犯罪"
381,"剧情"
381,"悬疑"
381,"恐怖"
382,"动作"
382,"悬疑"
382,"惊悚"
383,"剧情"
383,"悬疑"
383,"惊悚"
384,"爱情"
385,"爱情"
386,"剧情"
386,"喜剧"
386,"战争"
387,"剧情"
387,"喜剧"
387,"同性"
387,"家庭"
388,"剧情"
388,"喜剧"
388,"爱情"
389,"剧情"
389,"惊悚"
389,"犯罪"
390,"动画"
390,"冒险"
391,"剧情"
391,"喜剧"
391,"音乐"
391,"歌舞"
392,"剧情"
392,"惊悚"
392,"犯罪"
393,"喜剧"
393,"爱情"
394,"剧情"
394,"爱情"
394,"音乐"
394,"传记"
395,"剧情"
395,"同性"
396,"剧情"
396,"犯罪"
397,"剧情"
397,"西部"
397,"冒险"
398,"喜剧"
399,"剧情"
399,"喜剧"
399,"传记"
400,"动作"
400,"奇幻"
401,"剧情"
401,"奇幻"
402,"剧情"
402,"爱情"
402,"战争"
402,"西部"
403,"剧情"
403,"惊悚"
403,"犯罪"
404,"剧情"
404,"喜剧"
404,"爱情"
405,"喜剧"
406,"喜剧"
406,"爱情"
407,"剧情"
407,"悬疑"
407,"犯罪"
408,"剧情"
408,"惊悚"
409,"喜剧"
409,"爱情"
410,"剧情"
410,"传记"
410,"运动"
411,"剧情"
411,"家庭"
412,"剧情"
413,"剧情"
413,"喜剧"
414,"科幻"
414,"惊悚"
414,"冒险"
415,"悬疑"
415,"恐怖"
416,"悬疑"
416,"恐怖"
417,"喜剧"
417,"悬疑"
417,"恐怖"
417,"奇幻"
418,"悬疑"
418,"恐怖"
419,"剧情"
419,"悬疑"
420,"悬疑"
420,"惊悚"
420,"恐怖"
420,"奇幻"
421,"剧情"
421,"科幻"
421,"悬疑"
421,"惊悚"
421,"奇幻"
422,"科幻"
422,"家庭"
422,"战争"
423,"剧情"
423,"悬疑"
423,"奇幻"
424,"剧情"
424,"悬疑"
424,"奇幻"
425,"悬疑"
425,"恐怖"
426,"悬疑"
426,"恐怖"
426,"奇幻"
427,"喜剧"
427,"爱情"
427,"恐怖"
427,"奇幻"
428,"喜剧"
